ticker	signal_price
BTC-USD	104714.82
BTC-USD	104791.7
BTC-USD	105977.05
BTC-USD	106323.99
BTC-USD	106327.01
BTC-USD	106324.75
BTC-USD	105944.81
BTC-USD	105997.16
BTC-USD	106032.19
BTC-USD	105954.37
BTC-USD	105048.01
BTC-USD	103262.41
BTC-USD	103260.52
BTC-USD	103284.05
BTC-USD	103472.87
BTC-USD	101729.13
BTC-USD	101679.34
BTC-USD	96957.08
BTC-USD	97009.91
BTC-USD	95885.84
BTC-USD	95851.63
BTC-USD	95919.38
BTC-USD	95831.4
BTC-USD	95833.55
BTC-USD	95940.64
BTC-USD	95902.67
BTC-USD	95218.48
BTC-USD	95279.95
BTC-USD	95308.7
BTC-USD	91956.68
BTC-USD	91948.64
BTC-USD	91431.73
BTC-USD	91348.95
BTC-USD	91604.63
BTC-USD	91178.55
BTC-USD	91345.53
BTC-USD	91920.45
BTC-USD	92471.3
BTC-USD	92699.59
BTC-USD	84212.38
BTC-USD	85096.38
BTC-USD	85091.62
BTC-USD	84967.34
BTC-USD	84587.4
BTC-USD	84624.08
BTC-USD	85042.24
BTC-USD	86530.56
BTC-USD	86503.28
BTC-USD	86491.48
BTC-USD	86756.12
BTC-USD	87017.27
BTC-USD	87230.87
BTC-USD	87756.81
BTC-USD	87765.38
BTC-USD	86095.0
BTC-USD	88950.57
BTC-USD	88989.97
BTC-USD	87505.88
BTC-USD	87868.66
BTC-USD	87841.97
BTC-USD	90179.11
BTC-USD	90335.92
BTC-USD	90472.88
BTC-USD	90637.69
BTC-USD	90676.83
BTC-USD	91658.56
BTC-USD	91455.34
BTC-USD	91492.49
BTC-USD	91471.23
BTC-USD	91073.53
BTC-USD	90965.14
BTC-USD	90994.67
BTC-USD	122806.85
BTC-USD	123028.77
BTC-USD	123059.12
BTC-USD	123928.89
BTC-USD	124383.64
BTC-USD	124520.27
BTC-USD	115023.79
BTC-USD	107869.69
BTC-USD	107755.7
BTC-USD	108474.27
BTC-USD	111580.94
BTC-USD	111608.02
BTC-USD	113433.11
BTC-USD	110433.28
BTC-USD	110915.47
BTC-USD	102947.02
BTC-USD	102975.38
BTC-USD	86656.62
BTC-USD	91607.63
BTC-USD	92180.7
BTC-USD	92396.95
BTC-USD	123157.27
BTC-USD	123855.42
BTC-USD	124297.34
BTC-USD	124645.59
BTC-USD	124912.39
BTC-USD	111788.38
BTC-USD	113430.29
BTC-USD	113756.38
BTC-USD	110822.15
BTC-USD	102979.32
BTC-USD	102975.38
BTC-USD	87364.38
BTC-USD	87488.8
BTC-USD	92111.56
BTC-USD	92350.55
BTC-USD	123177.91
BTC-USD	124555.4
BTC-USD	125079.28
BTC-USD	108006.62
BTC-USD	111678.61
BTC-USD	87005.36
ETH-USD	4399.45
ETH-USD	4402.75
ETH-USD	4477.92
ETH-USD	4474.99
ETH-USD	4533.6
ETH-USD	4503.42
ETH-USD	4490.18
ETH-USD	4563.08
ETH-USD	4592.88
ETH-USD	4591.74
ETH-USD	4574.99
ETH-USD	4574.39
ETH-USD	4589.75
ETH-USD	4675.13
ETH-USD	4695.88
ETH-USD	4701.0
ETH-USD	4500.05
ETH-USD	4492.18
ETH-USD	4528.02
ETH-USD	4386.03
ETH-USD	3840.59
ETH-USD	3834.39
ETH-USD	3837.76
ETH-USD	3840.05
ETH-USD	3834.53
ETH-USD	4146.61
ETH-USD	4138.46
ETH-USD	4146.0
ETH-USD	4149.09
ETH-USD	4176.29
ETH-USD	4250.54
ETH-USD	4260.33
ETH-USD	4127.47
ETH-USD	4127.77
ETH-USD	4114.18
ETH-USD	4029.46
ETH-USD	4051.5
ETH-USD	3812.14
ETH-USD	3833.38
ETH-USD	3835.57
ETH-USD	3848.09
ETH-USD	3873.08
ETH-USD	3877.04
ETH-USD	3895.77
ETH-USD	3905.96
ETH-USD	3891.02
ETH-USD	3993.04
ETH-USD	4031.31
ETH-USD	3851.92
ETH-USD	3838.73
ETH-USD	3840.74
ETH-USD	3892.11
ETH-USD	3892.34
ETH-USD	3880.45
ETH-USD	3956.23
ETH-USD	3950.19
ETH-USD	3950.23
ETH-USD	3950.0
ETH-USD	3957.14
ETH-USD	4189.32
ETH-USD	4198.42
ETH-USD	4211.0
ETH-USD	4231.4
ETH-USD	4137.8
ETH-USD	3861.33
ETH-USD	3853.76
ETH-USD	3864.37
ETH-USD	3874.52
ETH-USD	3900.76
ETH-USD	3858.87
ETH-USD	3858.66
ETH-USD	3858.99
ETH-USD	3643.66
ETH-USD	3353.89
ETH-USD	3456.63
ETH-USD	3447.25
ETH-USD	3356.04
ETH-USD	3358.63
ETH-USD	3362.27
ETH-USD	3312.0
ETH-USD	3296.2
ETH-USD	3439.75
ETH-USD	3456.88
ETH-USD	3455.46
ETH-USD	3404.64
ETH-USD	3405.76
ETH-USD	3407.8
ETH-USD	3406.96
ETH-USD	3419.08
ETH-USD	3425.86
ETH-USD	3451.92
ETH-USD	3572.39
ETH-USD	3576.01
ETH-USD	3580.84
ETH-USD	3590.71
ETH-USD	3619.98
ETH-USD	3570.28
ETH-USD	3573.82
ETH-USD	3445.77
ETH-USD	3569.35
ETH-USD	3575.96
ETH-USD	3444.02
ETH-USD	3230.59
ETH-USD	3205.66
ETH-USD	3203.68
ETH-USD	3210.12
ETH-USD	3143.62
ETH-USD	3167.33
ETH-USD	3169.22
ETH-USD	3174.24
ETH-USD	3192.38
ETH-USD	3196.24
ETH-USD	3191.62
ETH-USD	3021.95
ETH-USD	3018.23
ETH-USD	3051.61
ETH-USD	3060.59
ETH-USD	3063.17
ETH-USD	3159.98
ETH-USD	3092.5
ETH-USD	3090.37
ETH-USD	3010.41
ETH-USD	3024.49
ETH-USD	3040.1
ETH-USD	2748.23
ETH-USD	2743.26
ETH-USD	2748.14
ETH-USD	2750.4
ETH-USD	2828.78
ETH-USD	2831.38
ETH-USD	2832.98
ETH-USD	2836.71
ETH-USD	2832.52
ETH-USD	2863.05
ETH-USD	2806.86
ETH-USD	2822.1
ETH-USD	2822.86
ETH-USD	2959.13
ETH-USD	2923.8
ETH-USD	2967.26
ETH-USD	2965.85
ETH-USD	2945.02
ETH-USD	2945.92
ETH-USD	3024.95
ETH-USD	3030.6
ETH-USD	3031.26
ETH-USD	3037.58
ETH-USD	3040.04
ETH-USD	3077.12
ETH-USD	4496.15
ETH-USD	4570.12
ETH-USD	4574.99
ETH-USD	4579.95
