ticker	date	intervals	signal_price	current_price	current_time	nx_1d_signal	nx_30m_signal	nx_1d	nx_1h	nx_30m
OKLO	2025-11-05	1,2,3	120.6	91.38	2025-11-28 00:00:00	True	False	True	False	False
PGY	2025-11-05	1,2,3	25.74	24.95	2025-11-28 00:00:00	False	False	False	True	True
SBET	2025-11-05	1,2,3	12.23	10.62	2025-11-28 00:00:00	False	False	False	False	True
USAR	2025-11-05	1,2,3	16.93	13.45	2025-11-28 00:00:00	True	False	False	False	False
XIACY	2025-11-05	1,2,3,4	27.99	26.64	2025-11-28 00:00:00	False	False	False	False	True
XIACY	2025-11-03	2,3,4	28.71	26.64	2025-11-28 00:00:00	False	False	False	False	True
ETH-USD	2025-11-02	2,3,4	3863.44	2998.38	2025-11-30 00:00:00	False	False	False	True	True
ETH-USD	2025-11-01	1,2,3,4	3895.21	2998.38	2025-11-30 00:00:00	False	False	False	True	True
DKNG	2025-10-31	1,2,3,4	30.6	33.16	2025-11-28 00:00:00	False	False	False	True	True
ETHA	2025-10-31	1,2,3,4	29.36	22.95	2025-11-28 00:00:00	True	False	False	False	True
FIG	2025-10-31	1,2,3,4	49.73	35.97	2025-11-28 00:00:00	False	False	False	False	False
HIMS	2025-10-31	1,2,3	45.36	39.76	2025-11-28 00:00:00	False	False	False	False	True
LI	2025-10-31	1,2,3	20.77	18.39	2025-11-28 00:00:00	False	False	False	False	False
MSTR	2025-10-31	2,3,4	269.83	177.18	2025-11-28 00:00:00	False	False	False	False	False
ONC	2025-10-31	1,2,3	310.82	340.61	2025-11-28 00:00:00	True	False	True	False	False
OXY	2025-10-31	1,2,3	41.1	42.0	2025-11-28 00:00:00	False	False	False	True	True
SBET	2025-10-31	1,2,3	13.64	10.62	2025-11-28 00:00:00	False	False	False	False	True
DUO	2025-10-30	1,2,3	1.91	1.81	2025-11-28 00:00:00	False	False	False	False	True
OXY	2025-10-30	1,2,3	40.96	42.0	2025-11-28 00:00:00	False	False	False	True	True
DUO	2025-10-29	1,2,3	2.04	1.81	2025-11-28 00:00:00	False	False	False	False	True
COIN	2025-10-24	1,2,3	345.65	272.82	2025-11-28 00:00:00	True	True	False	False	True
MSTR	2025-10-24	1,2,3,4	288.27	177.18	2025-11-28 00:00:00	False	False	False	False	False
SBET	2025-10-24	1,2,3,4	13.92	10.62	2025-11-28 00:00:00	False	False	False	False	True
COIN	2025-10-23	1,2,3	325.89	272.82	2025-11-28 00:00:00	True	False	False	False	True
DJT	2025-10-23	1,2,3	15.81	11.54	2025-11-28 00:00:00	False	False	False	False	True
LI	2025-10-23	1,2,4	22.17	18.39	2025-11-28 00:00:00	False	False	False	False	False
MSTR	2025-10-23	1,2,3,4	284.99	177.18	2025-11-28 00:00:00	False	False	False	False	False
NVDA	2025-10-23	1,2,3	181.82	177.0	2025-11-28 00:00:00	True	False	True	False	False
SBET	2025-10-23	1,2,3,4	13.5	10.62	2025-11-28 00:00:00	False	False	False	False	True
SE	2025-10-23	1,2,3	156.25	139.01	2025-11-28 00:00:00	True	False	False	False	False
APP	2025-10-22	1,2,3	569.41	599.48	2025-11-28 00:00:00	True	False	True	True	True
AFRM	2025-10-20	2,3,4	72.21	70.95	2025-11-28 00:00:00	True	False	False	False	True
OPFI	2025-10-20	2,3,4	9.61	9.9	2025-11-28 00:00:00	False	False	False	True	True
PGY	2025-10-20	1,2,3	28.35	24.95	2025-11-28 00:00:00	True	False	False	True	True
ETH-USD	2025-10-19	2,3,4	3973.78	2998.38	2025-11-30 00:00:00	True	False	False	True	True
ETH-USD	2025-10-18	1,2,3,4	3884.68	2998.38	2025-11-30 00:00:00	True	False	False	True	True
U	2025-10-17	1,2,3	35.23	42.52	2025-11-28 00:00:00	True	False	True	True	True
BA	2025-10-14	2,3,4	216.24	189.0	2025-11-28 00:00:00	True	False	False	False	True
PGY	2025-10-14	2,3,4	30.48	24.95	2025-11-28 00:00:00	True	False	False	True	True
AVGO	2025-10-13	1,2,3	357.55	402.96	2025-11-28 00:00:00	True	True	True	True	True
UPST	2025-10-13	1,2,3	50.38	44.96	2025-11-28 00:00:00	False	False	False	True	True
MCD	2025-10-10	1,2,3	295.71	311.82	2025-11-28 00:00:00	False	False	True	True	True
SQQQ	2025-10-10	1,2,3	76.88	68.41	2025-11-28 00:00:00	False	True	False	False	False
WMT	2025-10-10	1,2,3	102.88	110.51	2025-11-28 00:00:00	True	False	True	True	True
SQQQ	2025-10-09	1,2,3,4	72.75	68.41	2025-11-28 00:00:00	False	False	False	False	False
DKNG	2025-10-08	1,2,3	33.76	33.16	2025-11-28 00:00:00	False	False	False	True	True
TIGR	2025-10-08	1,2,3	10.35	8.82	2025-11-28 00:00:00	True	False	False	False	False
MCD	2025-10-07	2,3,4	297.56	311.82	2025-11-28 00:00:00	False	False	True	True	True
SQQQ	2025-10-07	1,2,3,4	74.54	68.41	2025-11-28 00:00:00	False	False	False	False	False
FUTU	2025-10-06	1,2,3,4	172.66	169.66	2025-11-28 00:00:00	True	False	True	False	True
SQQQ	2025-10-06	1,2,3,4	73.57	68.41	2025-11-28 00:00:00	False	False	False	False	False
MCD	2025-10-03	2,3,4	300.99	311.82	2025-11-28 00:00:00	True	False	True	True	True
SQQQ	2025-10-03	1,2,3,4	75.15	68.41	2025-11-28 00:00:00	False	False	False	False	False
DJT	2025-10-02	1,2,3,4	17.0	11.54	2025-11-28 00:00:00	False	True	False	False	True
FIG	2025-10-02	2,3,4	51.78	35.97	2025-11-28 00:00:00	False	False	False	False	False
XYZ	2025-10-02	1,3,4	76.09	66.8	2025-11-28 00:00:00	True	True	False	True	True
DJT	2025-10-01	1,2,3	16.62	11.54	2025-11-28 00:00:00	False	False	False	False	True
AAL	2025-09-23	1,2,3	12.37	14.05	2025-11-28 00:00:00	True	False	True	True	True
COST	2025-09-23	1,2,3	943.95	913.59	2025-11-28 00:00:00	False	False	False	False	True
MCD	2025-09-19	1,2,3	302.04	311.82	2025-11-28 00:00:00	True	False	True	True	True
SQQQ	2025-09-18	1,2,3,4	79.32	68.41	2025-11-28 00:00:00	False	False	False	False	False
SQQQ	2025-09-17	2,3,4	82.2	68.41	2025-11-28 00:00:00	False	False	False	False	False
SQQQ	2025-09-16	1,2,3	80.97	68.41	2025-11-28 00:00:00	False	False	False	False	False
PYPL	2025-09-15	2,3,4	67.08	62.69	2025-11-28 00:00:00	False	False	False	False	True
UPST	2025-09-15	1,2,3,4	65.48	44.96	2025-11-28 00:00:00	True	False	False	True	True
SBUX	2025-09-12	1,2,3	81.87	87.11	2025-11-28 00:00:00	False	False	False	True	True
UPST	2025-09-12	1,2,3,4	64.47	44.96	2025-11-28 00:00:00	True	False	False	True	True
PYPL	2025-09-11	2,3,4	67.25	62.69	2025-11-28 00:00:00	False	False	False	False	True
DXYZ	2025-09-09	2,3,4	26.46	22.51	2025-11-28 00:00:00	False	False	False	False	True
MSFT	2025-09-09	2,3,4	499.14	492.01	2025-11-28 00:00:00	True	False	False	False	True
BMNR	2025-09-05	1,2,3	42.28	33.12	2025-11-28 00:00:00	True	False	False	False	True
CLSK	2025-09-05	2,3,4	9.25	15.1	2025-11-28 00:00:00	False	False	False	True	True
CRWD	2025-09-05	2,3,4	417.58	509.16	2025-11-28 00:00:00	False	True	True	False	False
CRWV	2025-09-05	1,2,3,4	89.1	73.12	2025-11-28 00:00:00	False	False	False	False	False
LUNR	2025-09-05	1,2,3	8.43	9.5	2025-11-28 00:00:00	False	False	False	False	True
SMCI	2025-09-05	2,3,4	40.42	33.85	2025-11-28 00:00:00	False	False	False	False	False
VRT	2025-09-05	1,2,3,4	124.1	179.73	2025-11-28 00:00:00	True	False	True	False	True
VST	2025-09-05	1,2,3,4	188.02	178.86	2025-11-28 00:00:00	True	True	False	False	True
AMD	2025-09-04	1,2,3	161.8	217.53	2025-11-28 00:00:00	True		True	False	False
BILI	2025-09-04	1,2,3	22.38	26.61	2025-11-28 00:00:00	True		True	False	True
JOBY	2025-09-04	1,2,3	13.11	14.43	2025-11-28 00:00:00	True		True	False	True
SMCI	2025-09-04	2,3,4	40.7	33.85	2025-11-28 00:00:00	False		False	False	False
VRT	2025-09-04	1,2,3,4	125.68	179.73	2025-11-28 00:00:00	True		True	False	True
AMD	2025-09-03	1,2,3	162.12	217.53	2025-11-28 00:00:00	True		True	False	False
HIMS	2025-09-03	1,2,3	44.8	39.76	2025-11-28 00:00:00	False		False	False	True
META	2025-09-03	1,2,3	736.36	647.95	2025-11-28 00:00:00	True		False	True	True
TQQQ	2025-09-03	1,2,3	44.53	54.54	2025-11-28 00:00:00	True		True	True	True
VRT	2025-09-03	1,2,3,4	125.55	179.73	2025-11-28 00:00:00	True		True	False	True
VST	2025-09-03	1,2,3,4	188.19	178.86	2025-11-28 00:00:00	True		False	False	True
SH	2025-08-29	1,2,3,4	38.54	36.35	2025-11-28 00:00:00	False		False	False	False
MSFT	2025-08-27	1,2,3	504.03	492.01	2025-11-28 00:00:00	True		False	False	True
ASTS	2025-08-22	2,3,4	47.08	56.2	2025-11-28 00:00:00	True		True	False	False
DUO	2025-08-22	1,2,3,4	1.44	1.81	2025-11-28 00:00:00	False		False	False	True
QUBT	2025-08-22	2,3,4	15.92	11.7	2025-11-28 00:00:00	True		False	False	True
SMCI	2025-08-22	1,2,3,4	43.95	33.85	2025-11-28 00:00:00	True		False	False	False
ACHR	2025-08-21	1,2,3,4	9.38	7.79	2025-11-28 00:00:00	True		False	False	True
DUO	2025-08-21	1,2,3	1.36	1.81	2025-11-28 00:00:00	False		False	False	True
DXYZ	2025-08-21	1,2,3,4	27.32	22.51	2025-11-28 00:00:00	False		False	False	True
QMCO	2025-08-21	2,3,4	7.03	7.85	2025-11-28 00:00:00	False		False	False	True
SMCI	2025-08-21	1,2,3	42.31	33.85	2025-11-28 00:00:00	True		False	False	False
HIMS	2025-08-20	1,2,3	42.99	39.76	2025-11-28 00:00:00	True		False	False	True
SMR	2025-08-20	1,2,3	33.47	20.0	2025-11-28 00:00:00	True		False	False	False
CLSK	2025-08-14	1,2,3	9.63	15.1	2025-11-28 00:00:00	True		False	True	True
CLSK	2025-08-13	1,2,3	10.06	15.1	2025-11-28 00:00:00	True		False	True	True
DXYZ	2025-08-13	1,2,3	28.97	22.51	2025-11-28 00:00:00	False		False	False	True
QMCO	2025-08-13	1,2,3,4	7.67	7.85	2025-11-28 00:00:00	False		False	False	True
CLSK	2025-08-12	1,2,3	10.16	15.1	2025-11-28 00:00:00	True		False	True	True
DXYZ	2025-08-12	1,2,3	29.09	22.51	2025-11-28 00:00:00	False		False	False	True
XIACY	2025-08-12	1,2,3	33.24	26.64	2025-11-28 00:00:00	True		False	False	True
RR	2025-08-11	1,2,3	2.06	3.55	2025-11-28 00:00:00	False		True	False	True
DJT	2025-08-07	1,2,3,4	16.49	11.54	2025-11-28 00:00:00	False		False	False	True
LI	2025-08-07	1,2,3	24.57	18.39	2025-11-28 00:00:00	True		False	False	False
CRWD	2025-08-06	1,2,3	447.51	509.16	2025-11-28 00:00:00	True		True	False	False
ASML	2025-08-04	2,3,4	697.89	1060.0	2025-11-28 00:00:00	False		True	True	True
CRWD	2025-08-04	1,2,3	455.86	509.16	2025-11-28 00:00:00	True		True	False	False
DXYZ	2025-08-04	1,2,3	30.2	22.51	2025-11-28 00:00:00	False		False	False	True
MU	2025-08-04	1,2,3,4	107.77	236.48	2025-11-28 00:00:00	True		True	True	True
QMCO	2025-08-04	1,2,4	7.84	7.85	2025-11-28 00:00:00	False		False	False	True
BMNR	2025-08-01	1,2,3	32.05	33.12	2025-11-28 00:00:00	True		False	False	True
MLGO	2025-08-01	1,2,3,4	9.1	6.82	2025-11-28 00:00:00	False		False	False	True
CRWV	2025-07-31	1,2,3	116.85	73.12	2025-11-28 00:00:00	True		False	False	False
MLGO	2025-07-31	1,2,3	9.84	6.82	2025-11-28 00:00:00	False		False	False	True
OPFI	2025-07-31	1,2,3	10.7	9.9	2025-11-28 00:00:00	True		False	True	True
SQQQ	2025-07-31	1,2,3	90.9	68.41	2025-11-28 00:00:00	False		False	False	False
BMNR	2025-07-30	1,2,3	35.76	33.12	2025-11-28 00:00:00	True		False	False	True
DUOL	2025-07-30	2,3,4	341.49	191.41	2025-11-28 00:00:00	False		False	False	True
