ticker	date	intervals	signal_price	current_price	current_time	nx_1d	nx_30m
SH	2025-06-11	1,2,3,4	41.16	38.82	2025-07-29 00:00:00	False	False
SQQQ	2025-06-11	1,2,3	22.17	18.17	2025-07-29 00:00:00	False	False
HOLO	2025-06-10	1,2,3,4	4.85	4.67	2025-07-29 00:00:00	False	False
OPEN	2025-06-10	1,2,3	0.6	2.05	2025-07-29 00:00:00	False	False
SH	2025-06-10	1,2,3	41.19	38.82	2025-07-29 00:00:00	False	False
COIN	2025-06-09	1,2,3	254.48	371.44	2025-07-29 00:00:00	True	True
HOLO	2025-06-09	1,2,3,4	4.83	4.67	2025-07-29 00:00:00	False	False
SH	2025-06-09	1,2,3	41.28	38.82	2025-07-29 00:00:00	False	False
COIN	2025-06-06	1,2,3	251.9	371.44	2025-07-29 00:00:00	True	False
DJT	2025-06-06	1,2,4	20.89	17.81	2025-07-29 00:00:00	False	False
DUO	2025-06-06	1,2,3,4	3.2	2.08	2025-07-29 00:00:00	False	False
SOUN	2025-06-06	1,2,3	10.13	10.69	2025-07-29 00:00:00	False	False
TLRY	2025-06-06	1,3,4	0.4	0.58	2025-07-29 00:00:00	False	False
SH	2025-06-05	1,2,3	41.74	38.82	2025-07-29 00:00:00	False	False
SQQQ	2025-06-05	1,2,3	23.03	18.17	2025-07-29 00:00:00	False	False
HOLO	2025-06-04	2,3,4	5.65	4.67	2025-07-29 00:00:00	False	False
JD	2025-06-02	1,3,4	32.67	32.22	2025-07-29 00:00:00	False	False
JD	2025-05-29	1,3,4	32.99	32.22	2025-07-29 00:00:00	False	False
HOLO	2025-05-27	1,2,3	5.78	4.67	2025-07-29 00:00:00	False	False
LLY	2025-05-27	1,2,3,4	727.28	762.95	2025-07-29 00:00:00	False	False
LLY	2025-05-15	1,2,3	735.4	762.95	2025-07-29 00:00:00	False	False
OPEN	2025-05-14	1,2,3,4	0.75	2.05	2025-07-29 00:00:00	False	False
TLRY	2025-05-12	2,3,4	0.45	0.58	2025-07-29 00:00:00	False	False
TLRY	2025-05-08	2,3,4	0.44	0.58	2025-07-29 00:00:00	False	False
SQQQ	2025-05-05	1,2,3	28.84	18.17	2025-07-29 00:00:00	True	False
SQQQ	2025-05-02	1,2,3	28.46	18.17	2025-07-29 00:00:00	True	False
MLGO	2025-05-01	1,2,3	146.1	10.01	2025-07-29 00:00:00	True	
SQQQ	2025-05-01	1,2,3	30.01	18.17	2025-07-29 00:00:00	True	
SQQQ	2025-04-29	1,2,3	31.1	18.17	2025-07-29 00:00:00	True	
JD	2025-04-28	1,2,3,4	32.51	32.22	2025-07-29 00:00:00	False	
SQQQ	2025-04-28	1,2,3	32.88	18.17	2025-07-29 00:00:00	True	
JD	2025-04-25	1,2,3	32.54	32.22	2025-07-29 00:00:00	False	
HIMS	2025-04-23	1,2,3,4	27.25	60.27	2025-07-29 00:00:00	False	
QBTS	2025-04-23	1,2,3,4	7.07	17.67	2025-07-29 00:00:00	True	
QUBT	2025-04-23	1,2,3	6.41	15.37	2025-07-29 00:00:00	False	
AMZN	2025-04-22	1,2,3,4	176.58	231.01	2025-07-29 00:00:00	False	
CRM	2025-04-22	2,3,4	243.38	267.39	2025-07-29 00:00:00	False	
META	2025-04-22	1,2,3,4	494.75	700.0	2025-07-29 00:00:00	False	
QBTS	2025-04-22	1,2,3	6.26	17.67	2025-07-29 00:00:00	True	
QMCO	2025-04-22	1,2,3,4	9.92	7.88	2025-07-29 00:00:00	False	
OPEN	2025-04-17	1,2,3	0.94	2.05	2025-07-29 00:00:00	False	
SOL	2025-04-17	1,2,3	1.23	1.91	2025-07-29 00:00:00	False	
SOL	2025-04-16	1,2,3	1.19	1.91	2025-07-29 00:00:00	False	
SOL	2025-04-15	1,2,3	1.29	1.91	2025-07-29 00:00:00	False	
QMCO	2025-04-11	1,3,4	10.86	7.88	2025-07-29 00:00:00	False	
TEM	2025-04-11	2,3,4	40.2	58.29	2025-07-29 00:00:00	False	
ACHR	2025-04-09	1,3,4	6.88	10.19	2025-07-29 00:00:00	False	
ADBE	2025-04-09	1,2,3	351.8	370.7	2025-07-29 00:00:00	False	
CLSK	2025-04-09	1,2,3	7.11	11.73	2025-07-29 00:00:00	False	
COIN	2025-04-09	1,2,3,4	165.31	371.44	2025-07-29 00:00:00	False	
DUO	2025-04-09	1,2,3,4	3.86	2.08	2025-07-29 00:00:00	False	
FNGB	2025-04-09	2,3,4	11.55	25.29	2025-07-29 00:00:00	False	
HIMS	2025-04-09	2,3,4	29.2	60.27	2025-07-29 00:00:00	False	
MRVL	2025-04-09	2,3,4	54.28	76.34	2025-07-29 00:00:00	False	
MSTR	2025-04-09	1,3,4	299.48	394.66	2025-07-29 00:00:00	False	
NBIS	2025-04-09	1,2,3,4	21.15	50.4	2025-07-29 00:00:00	False	
SNOW	2025-04-09	2,3,4	139.71	218.76	2025-07-29 00:00:00	False	
SOUN	2025-04-09	1,2,3,4	8.62	10.69	2025-07-29 00:00:00	False	
TEM	2025-04-09	1,2,3,4	43.83	58.29	2025-07-29 00:00:00	False	
TLRY	2025-04-09	2,3,4	0.53	0.58	2025-07-29 00:00:00	False	
UPST	2025-04-09	2,3,4	39.58	80.43	2025-07-29 00:00:00	False	
WMT	2025-04-09	1,2,3,4	85.5	98.33	2025-07-29 00:00:00	False	
XYZ	2025-04-09	2,3,4	55.96	78.18	2025-07-29 00:00:00	False	
COIN	2025-04-08	1,2,3	158.14	371.44	2025-07-29 00:00:00	False	
AAL	2025-04-07	2,3,4	9.67	11.42	2025-07-29 00:00:00	False	
ACHR	2025-04-07	1,3,4	6.68	10.19	2025-07-29 00:00:00	False	
HIMS	2025-04-07	1,2,3,4	28.14	60.27	2025-07-29 00:00:00	False	
MARA	2025-04-07	1,3,4	11.48	16.61	2025-07-29 00:00:00	False	
NBIS	2025-04-07	1,2,3,4	21.05	50.4	2025-07-29 00:00:00	False	
OKLO	2025-04-07	1,2,3,4	22.37	71.01	2025-07-29 00:00:00	False	
OPEN	2025-04-07	1,2,3,4	1.02	2.05	2025-07-29 00:00:00	False	
RGTI	2025-04-07	1,2,3,4	8.36	14.47	2025-07-29 00:00:00	True	
SERV	2025-04-07	1,2,3,4	5.48	10.34	2025-07-29 00:00:00	False	
SOUN	2025-04-07	1,2,3	7.55	10.69	2025-07-29 00:00:00	False	
AAL	2025-04-04	2,3,4	9.44	11.42	2025-07-29 00:00:00	False	
ETH	2025-04-04	1,2,3	17.05	35.45	2025-07-29 00:00:00	False	
ETHA	2025-04-04	1,2,3	13.7	28.49	2025-07-29 00:00:00	False	
GME	2025-04-04	2,3,4	22.48	22.55	2025-07-29 00:00:00	False	
MARA	2025-04-04	1,3,4	11.28	16.61	2025-07-29 00:00:00	False	
OPEN	2025-04-04	1,2,3	0.98	2.05	2025-07-29 00:00:00	False	
SERV	2025-04-04	1,2,3,4	5.24	10.34	2025-07-29 00:00:00	False	
AA	2025-04-02	2,3,4	30.78	30.44	2025-07-29 00:00:00	False	
AAL	2025-04-02	1,2,3,4	10.58	11.42	2025-07-29 00:00:00	False	
AMZN	2025-04-02	2,3,4	197.24	231.01	2025-07-29 00:00:00	False	
CLS	2025-04-02	2,3,4	83.82	202.0	2025-07-29 00:00:00	False	
COIN	2025-04-02	2,3,4	182.4	371.44	2025-07-29 00:00:00	False	
CRM	2025-04-02	2,3,4	272.79	267.39	2025-07-29 00:00:00	False	
LLY	2025-04-02	1,2,3	813.97	762.95	2025-07-29 00:00:00	True	
MARA	2025-04-02	2,3,4	12.47	16.61	2025-07-29 00:00:00	False	
OKLO	2025-04-02	2,3,4	23.1	71.01	2025-07-29 00:00:00	False	
PYPL	2025-04-02	2,3,4	67.43	71.45	2025-07-29 00:00:00	False	
SERV	2025-04-02	1,2,3,4	6.0	10.34	2025-07-29 00:00:00	False	
SNOW	2025-04-02	2,3,4	154.15	218.76	2025-07-29 00:00:00	False	
SOXL	2025-04-02	2,3,4	16.62	27.03	2025-07-29 00:00:00	False	
U	2025-04-02	2,3,4	20.91	32.54	2025-07-29 00:00:00	False	
ALAB	2025-04-01	2,3,4	62.02	118.41	2025-07-29 00:00:00	False	
BILI	2025-04-01	1,2,3	19.0	22.44	2025-07-29 00:00:00	True	
ETH	2025-04-01	2,3,4	18.05	35.45	2025-07-29 00:00:00	False	
ETHA	2025-04-01	2,3,4	14.5	28.49	2025-07-29 00:00:00	False	
FNGB	2025-04-01	2,3,4	13.83	25.29	2025-07-29 00:00:00	False	
HIMS	2025-04-01	2,3,4	32.33	60.27	2025-07-29 00:00:00	True	
LI	2025-04-01	1,2,3	25.63	27.38	2025-07-29 00:00:00	True	
META	2025-04-01	2,3,4	585.24	700.0	2025-07-29 00:00:00	False	
MRVL	2025-04-01	2,3,4	62.66	76.34	2025-07-29 00:00:00	False	
MSFT	2025-04-01	2,3,4	380.87	512.57	2025-07-29 00:00:00	False	
NVDA	2025-04-01	2,3,4	110.15	175.51	2025-07-29 00:00:00	False	
OKLO	2025-04-01	2,3,4	22.54	71.01	2025-07-29 00:00:00	False	
QQQ	2025-04-01	2,3,4	472.63	567.26	2025-07-29 00:00:00	False	
RDDT	2025-04-01	1,2,3,4	109.86	144.85	2025-07-29 00:00:00	False	
SMCI	2025-04-01	2,3,4	35.05	58.63	2025-07-29 00:00:00	False	
TQQQ	2025-04-01	2,3,4	58.63	89.38	2025-07-29 00:00:00	False	
TSM	2025-04-01	2,3,4	168.44	241.33	2025-07-29 00:00:00	False	
XYZ	2025-04-01	1,2,3	54.95	78.18	2025-07-29 00:00:00	False	
BABA	2025-03-31	1,2,3	132.55	119.36	2025-07-29 00:00:00	True	
SBUX	2025-03-25	1,2,3	95.88	92.96	2025-07-29 00:00:00	True	
CAT	2025-03-24	1,2,3	341.98	430.05	2025-07-29 00:00:00	False	
HOLO	2025-03-21	1,2,3,4	43.2	4.67	2025-07-29 00:00:00	False	
DUO	2025-03-20	1,2,3	5.76	2.08	2025-07-29 00:00:00	False	
HOLO	2025-03-20	1,2,3,4	29.83	4.67	2025-07-29 00:00:00	False	
CLSK	2025-03-19	1,2,3	7.99	11.73	2025-07-29 00:00:00	False	
DUO	2025-03-19	1,2,3	5.94	2.08	2025-07-29 00:00:00	False	
GOOGL	2025-03-19	1,2,3	163.01	195.75	2025-07-29 00:00:00	False	
HOLO	2025-03-19	1,2,3,4	31.52	4.67	2025-07-29 00:00:00	False	
MARA	2025-03-19	1,2,3,4	12.52	16.61	2025-07-29 00:00:00	False	
META	2025-03-19	1,2,3,4	583.95	700.0	2025-07-29 00:00:00	True	
HOLO	2025-03-17	1,2,3	33.74	4.67	2025-07-29 00:00:00	False	
BTC	2025-03-14	2,3,4	37.43	52.04	2025-07-29 00:00:00	False	
COIN	2025-03-14	1,2,3,4	182.21	371.44	2025-07-29 00:00:00	False	
ETH	2025-03-14	2,3,4	18.18	35.45	2025-07-29 00:00:00	False	
ETHA	2025-03-14	2,3,4	14.6	28.49	2025-07-29 00:00:00	False	
GOOGL	2025-03-14	2,3,4	164.5	195.75	2025-07-29 00:00:00	False	
HOLO	2025-03-14	1,2,3	36.39	4.67	2025-07-29 00:00:00	False	
IBIT	2025-03-14	2,3,4	48.03	66.71	2025-07-29 00:00:00	False	
MSFT	2025-03-14	2,3,4	387.69	512.57	2025-07-29 00:00:00	False	
QCOM	2025-03-14	1,2,3,4	156.19	162.08	2025-07-29 00:00:00	False	
ADBE	2025-03-12	2,3,4	438.76	370.7	2025-07-29 00:00:00	False	
BTC	2025-03-12	1,2,3,4	36.68	52.04	2025-07-29 00:00:00	False	
COIN	2025-03-12	2,3,4	194.11	371.44	2025-07-29 00:00:00	False	
GOOGL	2025-03-12	1,2,3,4	167.01	195.75	2025-07-29 00:00:00	False	
IBIT	2025-03-12	1,2,3,4	47.06	66.71	2025-07-29 00:00:00	False	
MSFT	2025-03-12	2,3,4	384.14	512.57	2025-07-29 00:00:00	False	
MSTR	2025-03-12	1,2,3,4	265.49	394.66	2025-07-29 00:00:00	False	
OPEN	2025-03-12	1,2,3	1.15	2.05	2025-07-29 00:00:00	False	
RIVN	2025-03-12	1,2,4	11.11	13.06	2025-07-29 00:00:00	False	
SOXL	2025-03-12	1,2,3	18.8	27.03	2025-07-29 00:00:00	False	
TLRY	2025-03-12	1,2,3,4	0.64	0.58	2025-07-29 00:00:00	False	
ACHR	2025-03-11	1,2,3	6.92	10.19	2025-07-29 00:00:00	True	
ALAB	2025-03-11	1,2,4	64.32	118.41	2025-07-29 00:00:00	False	
BTC	2025-03-11	1,2,3,4	36.82	52.04	2025-07-29 00:00:00	True	
CRM	2025-03-11	1,2,3	278.85	267.39	2025-07-29 00:00:00	False	
HOLO	2025-03-11	1,2,3	39.2	4.67	2025-07-29 00:00:00	False	
IBIT	2025-03-11	1,2,3,4	47.25	66.71	2025-07-29 00:00:00	True	
MSTR	2025-03-11	1,2,3,4	260.33	394.66	2025-07-29 00:00:00	False	
MU	2025-03-11	1,2,3,4	88.97	111.96	2025-07-29 00:00:00	False	
OKLO	2025-03-11	1,2,3	25.91	71.01	2025-07-29 00:00:00	True	
PLTR	2025-03-11	1,2,3,4	78.02	156.24	2025-07-29 00:00:00	True	
QBTS	2025-03-11	1,2,3	5.11	17.67	2025-07-29 00:00:00	True	
RKLB	2025-03-11	1,2,3	17.76	43.79	2025-07-29 00:00:00	True	
SOXL	2025-03-11	1,2,3	17.92	27.03	2025-07-29 00:00:00	False	
TIGR	2025-03-11	2,3,4	7.07	9.82	2025-07-29 00:00:00	True	
TSM	2025-03-11	1,2,3,4	170.98	241.33	2025-07-29 00:00:00	False	
VRT	2025-03-11	1,2,3,4	80.77	142.7	2025-07-29 00:00:00	False	
XYZ	2025-03-11	1,2,3	55.63	78.18	2025-07-29 00:00:00	False	
OKLO	2025-03-10	1,2,3	23.67	71.01	2025-07-29 00:00:00	True	
VST	2025-03-10	1,2,3	108.47	198.0	2025-07-29 00:00:00	False	
ACHR	2025-03-07	1,2,3	7.57	10.19	2025-07-29 00:00:00	True	
ALAB	2025-03-07	1,2,4	64.48	118.41	2025-07-29 00:00:00	False	
AMZN	2025-03-07	1,2,3	199.14	231.01	2025-07-29 00:00:00	True	
CRM	2025-03-07	1,2,3	282.83	267.39	2025-07-29 00:00:00	False	
DXYZ	2025-03-07	1,2,3	32.01	30.73	2025-07-29 00:00:00	False	
LULU	2025-03-07	1,2,3,4	344.24	214.04	2025-07-29 00:00:00	True	
META	2025-03-07	1,2,3	624.14	700.0	2025-07-29 00:00:00	True	
NVDA	2025-03-07	1,2,3	112.61	175.51	2025-07-29 00:00:00	False	
OKLO	2025-03-07	1,2,3	26.55	71.01	2025-07-29 00:00:00	True	
SHOP	2025-03-07	1,2,3	100.17	124.85	2025-07-29 00:00:00	True	
TQQQ	2025-03-07	1,2,3	67.43	89.38	2025-07-29 00:00:00	False	
VRT	2025-03-07	2,3,4	84.99	142.7	2025-07-29 00:00:00	False	
VST	2025-03-07	1,2,3	114.25	198.0	2025-07-29 00:00:00	False	
DJT	2025-03-06	1,2,4	21.98	17.81	2025-07-29 00:00:00	False	
AMZN	2025-03-05	1,2,3	207.35	231.01	2025-07-29 00:00:00	True	
CAT	2025-03-05	2,3,4	334.68	430.05	2025-07-29 00:00:00	False	
DJT	2025-03-05	1,2,4	22.72	17.81	2025-07-29 00:00:00	False	
DXYZ	2025-03-05	1,2,3	35.99	30.73	2025-07-29 00:00:00	True	
ETH	2025-03-05	1,2,3,4	20.67	35.45	2025-07-29 00:00:00	False	
ETHA	2025-03-05	1,2,3,4	16.6	28.49	2025-07-29 00:00:00	False	
GME	2025-03-05	1,2,4	24.64	22.55	2025-07-29 00:00:00	False	
LULU	2025-03-05	2,3,4	349.59	214.04	2025-07-29 00:00:00	True	
META	2025-03-05	1,2,3	650.16	700.0	2025-07-29 00:00:00	True	
MSFT	2025-03-05	1,2,3	394.77	512.57	2025-07-29 00:00:00	False	
PYPL	2025-03-05	2,3,4	68.8	71.45	2025-07-29 00:00:00	False	
RR	2025-03-05	1,2,3	1.65	1.9	2025-07-29 00:00:00	True	
SOL	2025-03-05	1,2,3,4	1.52	1.91	2025-07-29 00:00:00	False	
VRT	2025-03-05	1,2,3,4	87.1	142.7	2025-07-29 00:00:00	False	
AMZN	2025-03-04	1,2,3	206.2	231.01	2025-07-29 00:00:00	True	
DJT	2025-03-04	1,2,3,4	22.79	17.81	2025-07-29 00:00:00	False	
ETH	2025-03-04	1,2,3	20.59	35.45	2025-07-29 00:00:00	False	
ETHA	2025-03-04	1,2,3	16.55	28.49	2025-07-29 00:00:00	False	
GME	2025-03-04	1,2,3,4	24.74	22.55	2025-07-29 00:00:00	False	
MSFT	2025-03-04	1,2,3,4	391.9	512.57	2025-07-29 00:00:00	False	
PHUN	2025-03-04	1,2,3	2.94	2.91	2025-07-29 00:00:00	False	
QMCO	2025-03-04	1,2,3	11.0	7.88	2025-07-29 00:00:00	False	
SOFI	2025-03-04	1,2,4	13.48	22.4	2025-07-29 00:00:00	True	
VRT	2025-03-04	1,2,3	88.38	142.7	2025-07-29 00:00:00	False	
ETH	2025-03-03	1,2,3	21.46	35.45	2025-07-29 00:00:00	False	
ETHA	2025-03-03	1,2,3	17.25	28.49	2025-07-29 00:00:00	False	
