ticker	date	score	signal_price	nx_1d
VOYA	2025-06-06	3	66.4	True
WH	2025-06-06	3	83.18	False
XEL	2025-06-06	3	68.5	True
YUM	2025-06-06	3	144.7	True
CI	2025-06-05	3	311.86	True
HR	2025-06-05	3	14.23	False
NEU	2025-06-05	3	637.77	True
PEN	2025-06-05	3	259.1	False
PK	2025-06-05	3	10.09	False
SQQQ	2025-06-05	3	23.03	False
ENOV	2025-06-04	3	31.45	False
HOLO	2025-06-04	3	5.65	False
HR	2025-06-04	3	14.28	False
PEN	2025-06-04	3	255.11	False
TFSL	2025-06-04	3	13.15	True
ACHC	2025-06-03	3	22.18	False
AN	2025-06-03	3	185.77	True
AXTA	2025-06-03	3	30.78	False
BHF	2025-06-03	3	59.2	True
BIO	2025-06-03	3	220.74	False
BLDR	2025-06-03	4	108.56	False
CACC	2025-06-03	3	481.57	False
CBSH	2025-06-03	3	63.14	True
CCI	2025-06-03	3	99.76	True
CERT	2025-06-03	3	11.37	False
CNC	2025-06-03	3	55.1	False
CPAY	2025-06-03	3	324.94	False
CRI	2025-06-03	3	31.2	False
FBIN	2025-06-03	4	50.52	False
FCNCA	2025-06-03	3	1834.79	False
GGG	2025-06-03	3	84.27	True
HUN	2025-06-03	4	11.36	False
IEX	2025-06-03	3	181.68	False
INSP	2025-06-03	3	137.16	False
ITW	2025-06-03	3	244.61	False
IVZ	2025-06-03	3	14.48	False
JBHT	2025-06-03	3	140.2	False
LINE	2025-06-03	3	43.17	False
MANH	2025-06-03	3	186.25	False
MAS	2025-06-03	3	62.35	False
MHK	2025-06-03	3	100.19	False
MRK	2025-06-03	3	76.42	False
NVR	2025-06-03	3	7070.26	False
OLN	2025-06-03	4	20.17	False
PB	2025-06-03	3	69.52	False
PEN	2025-06-03	3	257.24	True
PFG	2025-06-03	3	77.3	False
PK	2025-06-03	3	10.3	False
RF	2025-06-03	3	21.49	False
RITM	2025-06-03	3	11.26	True
RJF	2025-06-03	3	146.07	False
SITE	2025-06-03	3	117.81	False
SPB	2025-06-03	3	55.53	False
TAP	2025-06-03	3	52.69	False
TFX	2025-06-03	4	121.77	False
WMS	2025-06-03	3	110.52	False
WSO	2025-06-03	4	443.23	False
ZBH	2025-06-03	4	92.26	False
AKAM	2025-06-02	4	76.14	False
BRK-B	2025-06-02	3	503.08	True
CLF	2025-06-02	3	6.99	False
COLD	2025-06-02	4	16.45	False
CSGP	2025-06-02	4	73.23	False
DHI	2025-06-02	3	116.89	False
FTV	2025-06-02	3	70.31	False
HAL	2025-06-02	3	20.09	False
HII	2025-06-02	3	222.92	True
HUN	2025-06-02	4	11.05	False
JD	2025-06-02	3	32.67	False
LINE	2025-06-02	3	43.12	False
MOH	2025-06-02	3	297.98	True
MUSA	2025-06-02	4	424.32	False
OC	2025-06-02	3	132.55	False
PHM	2025-06-02	3	97.43	False
RARE	2025-06-02	3	36.32	False
SAIA	2025-06-02	3	264.81	False
SLB	2025-06-02	3	33.4	False
TEAM	2025-06-02	3	205.93	False
AKAM	2025-05-30	4	75.96	False
APPF	2025-05-30	3	209.94	False
BILL	2025-05-30	3	43.56	False
COLD	2025-05-30	3	16.56	False
CSGP	2025-05-30	3	73.5	False
DHI	2025-05-30	3	118.25	False
TAP	2025-05-30	4	53.56	False
TEAM	2025-05-30	3	207.0	False
TKO	2025-05-30	3	158.01	True
TRGP	2025-05-30	3	157.88	False
VNOM	2025-05-30	3	39.72	False
AFG	2025-05-29	3	122.99	False
APPF	2025-05-29	3	209.48	False
AXSM	2025-05-29	3	104.22	False
BEAM	2025-05-29	4	16.47	False
BRBR	2025-05-29	3	61.47	False
COLD	2025-05-29	4	16.59	False
DHI	2025-05-29	3	118.15	False
ELV	2025-05-29	3	378.78	False
HUN	2025-05-29	4	11.39	False
JD	2025-05-29	3	32.99	False
MUSA	2025-05-29	4	434.69	False
PEN	2025-05-29	3	264.83	True
RARE	2025-05-29	3	35.17	False
ROIV	2025-05-29	4	10.78	True
TAP	2025-05-29	4	53.73	False
BEAM	2025-05-28	4	17.13	False
ELV	2025-05-28	3	383.46	False
FI	2025-05-28	3	160.75	False
HR	2025-05-28	4	14.43	False
MP	2025-05-28	3	19.71	False
AFG	2025-05-27	4	123.0	False
AMED	2025-05-27	3	94.09	True
BEAM	2025-05-27	4	17.03	False
BMRN	2025-05-27	4	58.11	False
BRK-B	2025-05-27	3	507.7	True
BRKR	2025-05-27	4	37.02	False
CC	2025-05-27	3	10.59	False
CSGP	2025-05-27	4	74.43	False
DOC	2025-05-27	3	17.3	False
FTRE	2025-05-27	3	4.18	False
GO	2025-05-27	4	13.72	False
HOLO	2025-05-27	3	5.78	False
HR	2025-05-27	4	14.44	False
LLY	2025-05-27	4	727.28	False
RGEN	2025-05-27	3	122.82	False
WLK	2025-05-27	4	72.77	False
BRBR	2025-05-23	4	61.68	False
CAG	2025-05-23	3	22.4	False
FNF	2025-05-23	3	53.98	False
GO	2025-05-23	4	13.46	False
LNW	2025-05-23	3	85.67	False
TWST	2025-05-23	4	28.25	False
VTR	2025-05-23	4	63.92	True
CC	2025-05-22	3	10.91	False
CERT	2025-05-22	4	11.44	True
FTRE	2025-05-22	3	4.26	False
GO	2025-05-22	3	13.5	False
MP	2025-05-22	4	20.5	False
UWMC	2025-05-22	3	4.11	False
FI	2025-05-20	3	166.35	False
FTRE	2025-05-20	3	4.76	False
FI	2025-05-19	3	168.46	False
FTRE	2025-05-19	3	4.45	False
X	2025-05-19	3	40.85	True
APLS	2025-05-16	3	17.54	False
ARE	2025-05-16	4	72.28	False
BMRN	2025-05-16	3	59.07	False
BNTX	2025-05-16	3	92.26	False
FLO	2025-05-16	3	17.31	False
FTRE	2025-05-16	3	4.51	False
