ticker	date	score	signal_price	nx_1d
平安银行 (000001.SZ)	2025-04-02	4	11.4	False
紫光国微 (002049.SZ)	2025-04-02	3	67.88	True
蓝思科技 (300433.SZ)	2025-04-02	4	25.26	True
北方稀土 (600111.SS)	2025-04-02	3	22.81	True
新 希 望 (000876.SZ)	2025-04-01	4	9.39	True
紫光国微 (002049.SZ)	2025-04-01	3	66.96	True
中航光电 (002179.SZ)	2025-04-01	3	41.93	True
北方华创 (002371.SZ)	2025-04-01	3	426.82	True
白云山 (600332.SS)	2025-04-01	4	26.94	False
盛美上海 (688082.SS)	2025-03-31	3	101.99	False
