ticker	date	intervals	signal_price	current_price	current_time	nx_1d	nx_30m
MSTR	2025-04-07	1,2,3	271.84	367.18	2025-06-23 00:00:00	False	
NBIS	2025-04-07	1,2,3	20.84	47.48	2025-06-23 00:00:00	False	
OKLO	2025-04-07	1,2,3	21.46	55.11	2025-06-23 00:00:00	False	
RGTI	2025-04-07	1,2,3	8.06	10.79	2025-06-23 00:00:00	True	
SOUN	2025-04-07	1,2,3	7.55	9.49	2025-06-23 00:00:00	False	
BTC	2025-04-04	1,2,3,4	37.23	45.74	2025-06-23 00:00:00	False	
ETH	2025-04-04	1,2,3	17.05	21.81	2025-06-23 00:00:00	False	
ETHA	2025-04-04	1,2,3	13.7	17.52	2025-06-23 00:00:00	False	
IBIT	2025-04-04	1,2,3,4	47.74	58.67	2025-06-23 00:00:00	False	
MARA	2025-04-04	1,2,3	11.22	14.18	2025-06-23 00:00:00	False	
MSTR	2025-04-04	1,2,3	295.11	367.18	2025-06-23 00:00:00	False	
